l_mm,f1_Hz,k1_eff_v,k1_eff_l,angle1,X1(1),X1(2),X1(3),X1(4),X1(5),dw_le_1,dw1_1,dw2_1,f2_Hz,k2_eff_v,k2_eff_l,angle2,X2(1),X2(2),X2(3),X2(4),X2(5),dw_le_2,dw1_2,dw2_2,f3_Hz,k3_eff_v,k3_eff_l,angle3,X3(1),X3(2),X3(3),X3(4),X3(5),dw_le_3,dw1_3,dw2_3,f4_Hz,k4_eff_v,k4_eff_l,angle4,X4(1),X4(2),X4(3),X4(4),X4(5),dw_le_4,dw1_4,dw2_4,f5_Hz,k5_eff_v,k5_eff_l,angle5,X5(1),X5(2),X5(3),X5(4),X5(5),dw_le_5,dw1_5,dw2_5
0.5,21689.7508569987,1781.63464097644,32210.8481081064,76.7654446632721,-1.29096565781299,0.501709697240389,0.0579530915617835,0.457166624226815,0.063447059377666,478.344073775822,463.869096191219,1972.36458454833,162188.429989103,439827.915334963,119524.037960934,27.5329505202325,-0.985566068335219,-0.667723017021277,-0.112839994863761,-0.32180302769076,-0.22974356278244,-1174.60806702137,-888.693291620843,-463.274221837013,456407.136620036,17897286.9344711,295538.309001828,7.32255013034164,-1.00133230998183,1.03243554441766,-0.00619294144344232,-0.0158394331148483,0.596603353974115,-105356.708835188,-11211.256766125,-1440.68021071987,839430.983078867,165900.429602416,30404344.096792,85.7753520439593,-35.6531473306161,4721.62154378129,-28.3220835400566,-72.4382350460005,2728.43691254862,37.6559735347581,31.5627904766941,427.286780293966,1337720.54621114,307273.185796836,2793003557.72598,89.3990569816809,-977.325506185188,175062.101413098,-1050.08913038568,-2685.77003307493,101161.411403868,14.4702919520942,11.634531827195,1109.2318337126
0.51,21515.0135455494,1781.33919816268,30565.3367728997,76.4277998109128,-1.28879103209702,0.501373318004645,0.0571388503807517,0.453774010383518,0.0633010889029363,478.211783742885,463.731073101288,1920.9120364768,161293.785448986,457327.506023003,112529.841769955,26.3834342789321,-0.985349523860609,-0.682033874014399,-0.104782939611951,-0.308923219971742,-0.237348526956375,-1227.3640133962,-922.13678938426,-457.420412878526,450934.627678408,21148203.5837718,269013.62710417,6.4348975459765,-1.00146147435451,1.07907906568399,-0.0489335512725112,-0.0584526468467134,0.638120271649284,-420240.097991749,-11961.3639765905,-1349.05950036573,822197.049518946,161369.681589768,24675705.3765268,85.3766711968827,-33.2546870290455,4366.36143340919,-198.003629085906,-236.521484837048,2582.07561671109,39.0450819197996,32.7817797022882,405.374423936123,1313583.47849507,300057.030213383,2189291089.33426,89.3292619542906,-907.128197747845,162136.596351317,-7352.49130764955,-8782.77923169924,95880.507924052,15.1072974134622,12.1683239151928,1039.39497614686
0.52,21344.0395104466,1781.05501050366,29040.8322113494,76.0906803374985,-1.2866360435211,0.501085650122632,0.0563113973849923,0.450380786391698,0.06318673882286,478.081631302386,463.595261067146,1871.99571349832,160377.765515915,475662.034086355,105966.517548562,25.266958510339,-0.985102122556522,-0.696936896114612,-0.0960976371086721,-0.295703213947897,-0.245640344320428,-1282.68125436525,-956.690369897616,-451.550667923658,445124.548655777,25613587.6093206,244739.923378549,5.58293138189707,-1.0016086206692,1.12680677412035,-0.095663340153382,-0.10317322826814,0.682766791913937,190217.414005333,-12891.0462934348,-1260.10104414698,804718.568280724,156809.613487518,19966332.8123237,84.9356147797231,-31.0373036155929,4029.35022458358,-342.082697747678,-368.937319193676,2441.50691096466,40.5180520896576,34.0767660564571,384.521992062823,1290501.5774003,293186.405002682,1730461183.74934,89.2542571634482,-849.612201867396,151199.610042763,-12836.5040562267,-13844.2120151199,91616.482132108,15.7468081617841,12.7052476620776,976.095143536622
0.53,21176.6821964526,1780.78144896562,27625.7497760737,75.7540950353874,-1.28450137140537,0.500846121199607,0.0554702629098342,0.44698796509484,0.0631040544680502,477.953457740299,463.461494557759,1825.43083913065,159438.635785937,494918.687210568,99797.1935487499,24.1823429615597,-0.984822238812589,-0.712440192508581,-0.0867556328476478,-0.282130923786787,-0.254643157634092,-1340.81480844228,-992.447868858803,-445.65618842933,438970.517587786,32021175.2775083,222650.575382978,4.76663992599357,-1.00177585897255,1.17522186516842,-0.14643117689265,-0.149969963008995,0.730383796276273,74078.3194142717,-14080.5564111682,-1174.12164351284,787199.307798036,152276.716145487,16136886.6797687,84.4515844391897,-29.035444828899,3717.73222592057,-463.224792992816,-474.419495521182,2310.51808784834,42.0632153182521,35.4377906264015,364.804142425148,1268613.30016266,286698.844900565,1381053053.91386,89.1745317511007,-803.923977196433,142145.421668757,-17711.1420419963,-18139.1652600905,88341.3726197477,16.3822046176061,13.2397074898679,918.904968709052
0.54,21012.8027128516,1780.51794168317,26309.8552793413,75.4180516032656,-1.28238762934611,0.500654152864785,0.0546150013488287,0.443596464871719,0.0630530658443791,477.827114073446,463.329618207702,1781.05001629944,158474.679367159,515197.849448634,93989.7762335259,23.1284581671329,-0.984508108813116,-0.728552208929344,-0.0767279350466408,-0.268193233756977,-0.264381357164481,-1402.05311044997,-1029.51263360461,-439.728857557401,432471.917179203,41739959.2107574,202669.500608897,3.98601919705553,-1.00196536093786,1.22381190564412,-0.201191864376668,-0.198741314679898,0.780703393357755,44573.9630357431,-15663.3388688353,-1091.44670048938,769845.905526152,147827.029026822,13051542.2697762,83.925130301583,-27.2739458245271,3436.76315645167,-564.995963577941,-558.114220662977,2192.4060764849,43.6658716517541,36.8521343861442,346.271412873354,1247991.87312694,280612.057767271,1113717754.96798,89.0906066918106,-769.114652536485,134830.147645279,-22165.7663680415,-21895.783721277,86011.8726645289,17.008003544813,13.7670287789001,867.310546905125
0.55,20852.2693299878,1780.26396933676,25084.0807715881,75.0825566867441,-1.28029537081965,0.500509163716616,0.0537451895830633,0.440207117219724,0.0630337894351508,477.702460329509,463.199486064343,1738.70123657563,157484.195019723,536615.37189887,88516.3011159635,22.1042366352724,-0.98415782010596,-0.745281544677288,-0.0659850435301669,-0.25387605735387,-0.274879505168746,-1466.72386250706,-1067.99889525213,-433.76137561687,425635.220611827,57604239.8784746,184707.700803993,3.24096517541466,-1.00217926618894,1.27194182743009,-0.259781397046069,-0.24930001769764,0.833331912155458,31095.9960472878,-17878.5548470068,-1012.38962816475,752854.567869472,143512.562594858,10583278.8610917,83.3578931715625,-25.7677478355215,3189.72615809446,-651.46966604471,-625.184871284731,2089.79730145969,45.3091262237879,38.3050302540024,328.943243038905,1228651.66239758,274926.242136114,907714879.081023,89.0029609620801,-744.231159989293,129092.95165793,-26365.9442651212,-25302.1596105427,84577.198367829,17.6201103796348,14.2836826865319,820.742311316586
0.56,20694.9570152547,1780.01906102535,23940.3689443438,74.7476159173484,-1.27822509430184,0.500410571898345,0.0528604255021546,0.436820673658889,0.0630462298376625,477.579364889373,463.070960900265,1698.24615656032,156465.497368578,559305.283298849,83352.3740380758,21.1086812597755,-0.983769301384407,-0.762636725233391,-0.0544970152815815,-0.239164422181975,-0.286162220632718,-1535.20112242412,-1108.03336144996,-427.74738450615,418475.094801526,86308126.4802143,168661.754862969,2.53117654571259,-1.00241955705966,1.31885619300107,-0.321894884958712,-0.301360685054992,0.887738812443604,23379.3444043087,-21201.3841785408,-937.231072158437,736399.509148548,139378.330442028,8617886.62362331,82.7523899490538,-24.5227973988079,2978.10076619474,-726.868788740572,-680.50064277368,2004.59735606442,46.9749413560319,39.7805787346235,312.805122284097,1210559.21223858,269627.685805364,747509564.129444,88.9119614350582,-728.377698790033,124772.105507358,-30453.2842636573,-28510.6195739886,83985.684987492,18.2158683881277,14.7873400586559,778.603219221388
0.57,20540.747004961,1779.78279057697,22871.5411905503,74.413233950086,-1.27617724794892,0.500357797347439,0.0519603266110991,0.433437812023297,0.0630903812511222,477.45770388562,462.943913584445,1659.55860054839,155416.919420454,583423.036963368,78476.6867955029,20.1408712287881,-0.983340312747248,-0.780625924981183,-0.0422335739593396,-0.224042585109585,-0.29825401725168,-1607.91394373702,-1149.75707151892,-421.681581678498,411015.084924427,147040598.766824,154414.268276726,1.85607601992894,-1.00268790482978,1.36369359647103,-0.387071052233437,-0.354533080959069,0.943255039726679,18387.0794333526,-26729.6311434007,-866.199738641198,720624.508259346,135460.336598004,7056233.50867037,82.1116531538535,-23.5377258033215,2801.90245485505,-795.292530714203,-728.438640789384,1938.05164019536,48.6452562750528,41.2627384052803,297.809428721173,1193646.03018261,264692.760065932,621559034.385224,88.8178003270635,-720.74794528245,121715.573841266,-34547.7718468823,-31643.6166498945,84189.6073546885,18.7939502963201,15.2767907562044,740.290694986387
0.58,20389.5264088542,1779.55477324747,21871.1853034353,74.079414499745,-1.27415223388069,0.50035026375756,0.0510445287175942,0.430059142199726,0.0631662288310603,477.337360651596,462.818222506364,1622.52325558854,154336.817635217,609149.414886044,73870.5942026228,19.1999656744761,-0.982868436774608,-0.799256634669437,-0.0291642712942182,-0.208494182582646,-0.311179087281165,-1685.35697671358,-1193.32756529459,-415.559823608854,403287.704738834,315444199.340169,141836.080823358,1.21475764669269,-1.00298549629103,1.40551477828414,-0.45468733629142,-0.408323563014346,0.99908378748649,14900.2950701005,-37701.8707367457,-799.456777200185,705638.193212167,131784.644562818,5814846.51552362,81.4387571756544,-22.8058411971887,2660.09704610256,-860.54765048122,-772.798920801495,1890.8800341084,50.3030291654778,42.7362618035257,283.87899192294,1177820.82066146,260091.640888823,521322084.940916,88.7204402827845,-720.633098357299,119786.936075898,-38751.3555377573,-34799.9389951591,85148.2941589652,19.3541555428345,15.7517805810584,705.211714654736
0.59,20241.1878443623,1779.33466276299,20933.5595464413,73.7461603760319,-1.27215041210609,0.500387400289197,0.0501126846949013,0.426685211368994,0.0632737499238633,477.218225215851,462.69377304758,1587.03453072741,153223.579809701,636695.241409705,69517.7422631585,18.285205278894,-0.9823510708387,-0.818535268690667,-0.0152587087309107,-0.192502421241796,-0.324961023768344,-1768.10356854578,-1238.92142907973,-409.379218237585,395333.824760038,1169207131.80941,130789.828736412,0.605965218712139,-1.00331285548453,1.44334392180236,-0.523968786104634,-0.462146392177485,1.05432514933999,12334.409960754,-69690.9801100821,-737.085435821137,691512.95434581,128367.464161899,4825185.44564221,80.7362777315155,-22.3170412313373,2551.01037711624,-926.078525323881,-816.81172753297,1863.44665065159,51.9330865472372,44.1874713484141,270.912268649178,1162979.79923719,255791.380376427,440485011.500726,88.6195649641778,-727.412585009454,118867.940530506,-43151.9401340961,-38060.4989787483,86829.9351654621,19.8971718920902,16.2128152212667,672.792354888591
